OTU,Sample,Common,Gender,Abundance,Phylum,Class,Order,Family,Genus,Species
ASV72,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Clinostomus,
ASV73,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Clinostomus,
ASV74,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus,
ASV75,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV76,S10,BHC,M,0,Arthropoda,Insecta,,,insect,
ASV77,S10,BHC,M,0,Arthropoda,Insecta,,,insect,
ASV78,S10,BHC,M,0,Arthropoda,Insecta,,,insect,
ASV79,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Clinostomus,
ASV8,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV80,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Clinostomus,
ASV81,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus,
ASV9,S10,BHC,M,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV2,S11,SR,F,13884,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV5,S11,SR,F,11341,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV6,S11,SR,F,10403,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV8,S11,SR,F,8256,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV1,S11,SR,F,118,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,platyrhynchus
ASV7,S11,SR,F,59,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,platyrhynchus
ASV70,S11,SR,F,44,Arthropoda,Insecta,,,insect,
ASV10,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV11,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV12,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV13,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV14,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,raneyi
ASV15,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV16,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV17,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,raneyi
ASV18,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV19,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV20,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,raneyi
ASV21,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV22,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,raneyi
ASV23,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV24,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV25,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV26,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
